year,month,t2m_mean_C,precip_total_mm
1975,1,9.869659,2.3216248
1975,2,10.32785,1.0211929
1975,3,8.584808,6.1294546
1975,4,10.2829895,5.6060815
1975,5,12.678253,3.3908846
1975,6,16.602417,1.8116028
1975,7,19.439423,0.64277697
1975,8,19.809479,2.4688783
1975,9,17.329987,4.2827573
1975,10,14.389801,3.536975
1975,11,10.864655,6.943904
1975,12,6.7254944,3.5243957
1976,1,7.287628,2.5321896
1976,2,9.092499,2.8854427
1976,3,9.316559,2.7488675
1976,4,9.931244,5.4618864
1976,5,13.583038,1.4770508
1976,6,18.523163,1.0047975
1976,7,19.806915,3.1333926
1976,8,19.539703,4.065702
1976,9,17.00351,4.343415
1976,10,14.230499,5.8294163
1976,11,10.123444,4.003131
1976,12,8.686737,3.6266296
1977,1,7.762909,3.1501768
1977,2,10.569305,3.3531244
1977,3,11.206512,3.1238585
1977,4,10.671051,3.3061953
1977,5,12.464569,6.712347
1977,6,14.811188,6.795116
1977,7,17.441132,4.864119
1977,8,17.634369,3.8841364
1977,9,17.486176,0.47187716
1977,10,15.9392395,2.0526886
1977,11,11.016449,4.07182
1977,12,11.176361,2.5299072
1978,1,7.6549377,8.40437
1978,2,10.352936,2.8793304
1978,3,10.495575,4.230502
1978,4,10.461884,5.711749
1978,5,13.247711,5.3871164
1978,6,15.627533,4.3781214
1978,7,18.136688,1.491162
1978,8,18.992065,0.9056076
1978,9,18.333038,1.0730757
1978,10,15.21402,2.5959
1978,11,11.788483,2.4383557
1978,12,11.291412,2.6100142
1979,1,8.4218445,6.8210626
1979,2,9.099274,3.38898
1979,3,9.1753845,5.377207
1979,4,10.4427185,6.4872613
1979,5,12.826782,2.6126847
1979,6,16.064423,1.2405427
1979,7,18.868225,1.8123747
1979,8,18.38681,2.552031
1979,9,17.67276,2.7504027
1979,10,15.002289,6.3293314
1979,11,10.6441345,6.0539355
1979,12,9.691498,4.55971
1980,1,8.021576,4.2095146
1980,2,10.032745,1.4541624
1980,3,9.517426,4.6371517
1980,4,10.651825,4.8664103
1980,5,12.677521,5.4138155
1980,6,15.553833,2.5894194
1980,7,17.220459,1.8985746
1980,8,19.818115,1.4175475
1980,9,18.522644,0.9067475
1980,10,14.425873,5.426812
1980,11,10.553558,3.714755
1980,12,7.8092346,6.046679
1981,1,8.106659,4.962541
1981,2,7.7759094,3.7452679
1981,3,12.006256,2.3704557
1981,4,11.204315,3.4290345
1981,5,13.734619,3.7422123
1981,6,16.718811,1.4007599
1981,7,17.826721,2.5169256
1981,8,19.441376,1.5071901
1981,9,18.327118,2.8648348
1981,10,14.96579,5.5191274
1981,11,12.046173,0.79193246
1981,12,10.304596,7.762514
1982,1,10.621185,2.9497113
1982,2,9.87558,4.252821
1982,3,9.802643,3.652569
1982,4,11.335297,0.43640146
1982,5,13.7908325,2.1515014
1982,6,17.457184,2.0263615
1982,7,19.36203,1.6258242
1982,8,18.785309,2.5669124
1982,9,18.59613,2.6226027
1982,10,14.388458,5.224615
1982,11,12.057465,4.2804747
1982,12,9.411163,7.1354136
1983,1,8.58432,1.0307294
1983,2,7.2520447,4.644778
1983,3,10.1215515,4.6779747
1983,4,11.437225,4.9266777
1983,5,12.893585,3.1471255
1983,6,17.113098,1.2802184
1983,7,20.393372,4.173279
1983,8,19.352875,8.015439
1983,9,18.920288,1.3923645
1983,10,15.71579,1.8100753
1983,11,13.943878,1.8527925
1983,12,10.0784,1.734735
1984,1,8.809235,6.258007
1984,2,7.7517395,5.664449
1984,3,8.346771,2.7099595
1984,4,12.758453,2.5173218
1984,5,11.125153,7.5881968
1984,6,16.068848,3.234479
1984,7,18.85608,1.6143781
1984,8,18.806427,2.438354
1984,9,17.042023,3.7738676
1984,10,14.749115,4.781719
1984,11,12.25943,5.143359
1984,12,9.648773,3.0677853
1985,1,6.1941223,3.9989455
1985,2,10.472382,1.7475127
1985,3,9.056793,5.629342
1985,4,11.8909,3.6840467
1985,5,12.668732,4.7042856
1985,6,16.643036,2.0339997
1985,7,19.41394,3.668976
1985,8,18.524841,1.4167812
1985,9,19.306427,0.36849967
1985,10,16.1539,1.5598305
1985,11,10.21048,5.995948
1985,12,10.286285,3.2529829
1986,1,8.601349,6.7535377
1986,2,7.5765076,5.52902
1986,3,9.756989,3.0471768
1986,4,8.300262,5.6327844
1986,5,13.663513,1.5571655
1986,6,16.055115,1.5377043
1986,7,18.740448,0.7766725
1986,8,18.634674,2.2243485
1986,9,17.841248,4.887011
1986,10,16.161407,2.1312714
1986,11,11.691681,1.8489842
1986,12,9.8905945,4.267117
1987,1,7.040436,3.1143172
1987,2,8.436127,4.846953
1987,3,10.12735,3.3580747
1987,4,13.178345,2.2037504
1987,5,13.208771,1.1642426
1987,6,16.20752,3.5957391
1987,7,18.829529,2.3056004
1987,8,19.817444,2.3612957
1987,9,20.317413,3.2539368
1987,10,15.593597,4.3659143
1987,11,11.820099,5.71289
1987,12,11.231537,1.2573258
1988,1,10.590118,5.1063476
1988,2,9.327484,4.38767
1988,3,9.89389,3.3809597
1988,4,12.088104,5.200576
1988,5,14.557404,2.423859
1988,6,16.839996,3.1868105
1988,7,18.462433,3.6727908
1988,8,19.315704,3.0624409
1988,9,17.876068,3.0517595
1988,10,16.093903,0.88348377
1988,11,12.814301,0.6210313
1988,12,9.184967,2.406314
1989,1,8.500702,1.4934537
1989,2,9.490265,4.4672008
1989,3,11.5035095,2.3511884
1989,4,10.357025,7.298276
1989,5,16.04895,1.3992316
1989,6,18.345184,0.79651177
1989,7,20.689636,1.5155798
1989,8,20.75943,1.0772648
1989,9,18.059418,1.7726929
1989,10,16.516632,1.3107301
1989,11,13.668243,3.8051662
1989,12,13.009186,1.4745744
1990,1,9.41568,2.6142092
1990,2,12.529572,1.3067273
1990,3,11.739044,1.3118745
1990,4,11.067047,8.633807
1990,5,16.314087,2.3315375
1990,6,17.090942,2.130509
1990,7,20.299774,1.3950362
1990,8,20.861359,1.1478438
1990,9,19.447357,1.1989596
1990,10,16.21048,4.5577993
1990,11,11.0711975,5.3867097
1990,12,7.471649,3.715509
1991,1,8.191559,2.576446
1991,2,7.67807,3.0942943
1991,3,10.884186,3.855896
1991,4,10.168732,4.6310425
1991,5,12.612213,5.543135
1991,6,16.20346,1.2226112
1991,7,19.154053,1.8631012
1991,8,20.91153,0.62179613
1991,9,19.968597,4.0660853
1991,10,13.464874,2.899934
1991,11,11.39975,6.772619
1991,12,9.302521,0.57888126
1992,1,6.992096,1.6090398
1992,2,8.459015,0.79860747
1992,3,9.698944,4.7081003
1992,4,11.050262,4.1618404
1992,5,15.618011,2.2670777
1992,6,15.365875,6.9683194
1992,7,19.56723,2.1377623
1992,8,20.322418,3.7250578
1992,9,17.52707,3.3042965
1992,10,12.99942,11.394091
1992,11,13.379852,3.422546
1992,12,10.288666,4.269603
